'36117', 52890
'35242', 51902
'36695', 49824
'35215', 49475
'35758', 45052
'36116', 44944
'35405', 43724
'30165', 41034
'36830', 38004
'35401', 37272
'36330', 36674
'36301', 36609
'36608', 36236
'35216', 36047
'35226', 34755
'35244', 33562
'35630', 33478
'35601', 33275
'36526', 33151
'36532', 32285
'36303', 31422
'35603', 31045
'35810', 29631
'35209', 29599
'36067', 28015
'35811', 28014
'36535', 27899
'36605', 27317
'35020', 27134
'35803', 26645
'35007', 26630
'35173', 26597
'35160', 26350
'35611', 25464
'35640', 25434
'35023', 25049
'36609', 24986
'36582', 24940
'36801', 24525
'35124', 24374
'36109', 24132
'35211', 24101
'36867', 23993
'35613', 23820
'36832', 23636
'35801', 23598
'36701', 22746
'35802', 21562
'35126', 21507
'35633', 21465
'35805', 21464
'35950', 21342
'36869', 21235
'35404', 21218
'35806', 21216
'35205', 21124
'35749', 21063
'31905', 20993
'36207', 20867
'35010', 20826
'36265', 20741
'36870', 20667
'35055', 20520
'36507', 20384
'36092', 20297
'36575', 20128
'35901', 20016
'36066', 19862
'36108', 19772
'35022', 19416
'36360', 19280
'36606', 18960
'36693', 18846
'36502', 18608
'35235', 18585
'36203', 18104
'35674', 18041
'36201', 18036
'35214', 18008
'35243', 17585
'35150', 17526
'35976', 17138
'35903', 17106
'36618', 17030
'36804', 16944
'35763', 16908
'35080', 16882
'35661', 16861
'35111', 16781
'35406', 16727
'35040', 16646
'35957', 16553
'35967', 16485
'35206', 16476
'36027', 16159
'36081', 16154
'35016', 15997
'35473', 15993
'36619', 15960
'36305', 15940
'35071', 15815
'36426', 15514
'36541', 15464
'35475', 15457
'36054', 15372
'36854', 15155
'35121', 15135
'35757', 15036
'36106', 14986
'36571', 14974
'35045', 14795
'35115', 14532
'35208', 14529
'35904', 14494
'35650', 14442
'36567', 14409
'35180', 14380
'35120', 14311
'35094', 14281
'35210', 14269
'35645', 13992
'36617', 13859
'36037', 13842
'36613', 13713
'36527', 13660
'35816', 13547
'36542', 13494
'36078', 13459
'35213', 13412
'36703', 13392
'35565', 13166
'35217', 13152
'35057', 13090
'36110', 12807
'36272', 12702
'35077', 12676
'35504', 12665
'36603', 12638
'35756', 12582
'35212', 12579
'35146', 12560
'35773', 12497
'35750', 12206
'36111', 12203
'36877', 12182
'35951', 12143
'35761', 12087
'35653', 11908
'36863', 11870
'36022', 11615
'35570', 11606
'36206', 11504
'36274', 11497
'35954', 11447
'35064', 11392
'35768', 11334
'35453', 11108
'36420', 11056
'36093', 10986
'36460', 10903
'36610', 10890
'35125', 10855
'35223', 10723
'35043', 10584
'36105', 10563
'35004', 10418
'35960', 10388
'36544', 10358
'35127', 10284
'36545', 10235
'35128', 10187
'35228', 10135
'35906', 9959
'35501', 9919
'35204', 9911
'36467', 9831
'35769', 9786
'36079', 9757
'35555', 9695
'35962', 9691
'36604', 9621
'35179', 9601
'36587', 9548
'35207', 9506
'35058', 9441
'35634', 9317
'36064', 9194
'35956', 9144
'36421', 9113
'35660', 9067
'38852', 9012
'36322', 8889
'36551', 8861
'35051', 8753
'35620', 8749
'35222', 8698
'35614', 8673
'36345', 8653
'35079', 8647
'35085', 8646
'35503', 8574
'35907', 8422
'36264', 8418
'35652', 8338
'36732', 8328
'35031', 8306
'35068', 8201
'36083', 8178
'35654', 8174
'35044', 8076
'36104', 8056
'35114', 8053
'36874', 8024
'36401', 7902
'36853', 7879
'36323', 7870
'35096', 7866
'35986', 7789
'35005', 7708
'35062', 7670
'35476', 7668
'35953', 7602
'36089', 7533
'35622', 7488
'36530', 7432
'35759', 7410
'35673', 7365
'36107', 7360
'36784', 7289
'35952', 7283
'35824', 7208
'35151', 7172
'36522', 7135
'36025', 7110
'35594', 7094
'35218', 7065
'35961', 7041
'35670', 6720
'35748', 6719
'35474', 6717
'36744', 6646
'36856', 6603
'36375', 6593
'36310', 6491
'36607', 6466
'35905', 6433
'36561', 6391
'36312', 6317
'36572', 6276
'36862', 6271
'35672', 6104
'36271', 6099
'36350', 6097
'36340', 6066
'36268', 6030
'36580', 5996
'35578', 5969
'35184', 5963
'36611', 5955
'36344', 5893
'35175', 5888
'35147', 5861
'35442', 5847
'35042', 5813
'36756', 5700
'36049', 5597
'35550', 5579
'35978', 5574
'35747', 5571
'35739', 5458
'35224', 5416
'36352', 5368
'35117', 5359
'36521', 5341
'36266', 5333
'35234', 5298
'35971', 5280
'36277', 5238
'35466', 5221
'36726', 5197
'36251', 5195
'35754', 5182
'36024', 5083
'35592', 5059
'35186', 5056
'35046', 5028
'35581', 4989
'35470', 4939
'36549', 4926
'36250', 4911
'35563', 4871
'36088', 4858
'36016', 4853
'35980', 4820
'35034', 4804
'36010', 4781
'35760', 4762
'35221', 4715
'36362', 4681
'35959', 4677
'36612', 4668
'35072', 4647
'36278', 4469
'35462', 4462
'35968', 4410
'35772', 4396
'35131', 4388
'35619', 4374
'36477', 4372
'36451', 4371
'35553', 4356
'35549', 4345
'35616', 4332
'35646', 4317
'35490', 4188
'36904', 4168
'36033', 4132
'35116', 4113
'35014', 4077
'35586', 4068
'35178', 4042
'36576', 4035
'35444', 4028
'35580', 4016
'36875', 4014
'36445', 3983
'36441', 3980
'35546', 3978
'35054', 3974
'35582', 3954
'36260', 3928
'35966', 3896
'35776', 3895
'35063', 3879
'36320', 3864
'36849', 3859
'35771', 3851
'35171', 3826
'35049', 3726
'36280', 3698
'36043', 3637
'35083', 3611
'35481', 3611
'36351', 3563
'35983', 3534
'35033', 3532
'36040', 3530
'35989', 3498
'36558', 3476
'36273', 3449
'35456', 3437
'35143', 3432
'35740', 3413
'36925', 3395
'36866', 3367
'36442', 3357
'35765', 3342
'36091', 3323
'35541', 3305
'35621', 3297
'35188', 3280
'35452', 3275
'36560', 3263
'35579', 3244
'35958', 3239
'36786', 3226
'36861', 3222
'35118', 3182
'36474', 3158
'35447', 3110
'35203', 3106
'35006', 3099
'35643', 3086
'36553', 3083
'35648', 3067
'36750', 3058
'35133', 3058
'35172', 3032
'36748', 3019
'35091', 3010
'35130', 2959
'35741', 2950
'35973', 2925
'35576', 2906
'35752', 2876
'36017', 2861
'36769', 2839
'36782', 2834
'35148', 2822
'36432', 2789
'35987', 2702
'36276', 2669
'36311', 2661
'35053', 2614
'36080', 2574
'36279', 2543
'36850', 2541
'36523', 2504
'35744', 2466
'36032', 2405
'35019', 2358
'36009', 2357
'36453', 2348
'35540', 2319
'36852', 2239
'36908', 2220
'35073', 2213
'35078', 2207
'36518', 2201
'35443', 2192
'36075', 2189
'36051', 2154
'35610', 2133
'36376', 2105
'35988', 2103
'36509', 2099
'36053', 2098
'35097', 2082
'35564', 2078
'35671', 2018
'35461', 1996
'36475', 1994
'36912', 1969
'35618', 1962
'35136', 1960
'36353', 1945
'35446', 1912
'35981', 1903
'36036', 1867
'36069', 1863
'35593', 1847
'36879', 1841
'36316', 1831
'36855', 1824
'36907', 1822
'36919', 1814
'36028', 1811
'36042', 1806
'35089', 1795
'36003', 1763
'35548', 1762
'36113', 1753
'35984', 1752
'36525', 1745
'36319', 1742
'36035', 1729
'36256', 1728
'36321', 1701
'36767', 1701
'35087', 1688
'36005', 1680
'36505', 1656
'35135', 1618
'36480', 1603
'35808', 1592
'36562', 1583
'36776', 1583
'36318', 1556
'36742', 1525
'36456', 1522
'35651', 1512
'36860', 1509
'35233', 1503
'36752', 1499
'36785', 1491
'35574', 1480
'35585', 1479
'35677', 1445
'36759', 1440
'36041', 1436
'36578', 1434
'36048', 1430
'36262', 1389
'36346', 1386
'35974', 1384
'35061', 1381
'36258', 1379
'35543', 1374
'36046', 1363
'36343', 1354
'36006', 1342
'35463', 1341
'36736', 1332
'36740', 1324
'36758', 1302
'35972', 1300
'35254', 1284
'35963', 1284
'35979', 1279
'36792', 1276
'36082', 1274
'36871', 1263
'35480', 1237
'35587', 1230
'35542', 1218
'36765', 1218
'35572', 1215
'36269', 1209
'35098', 1208
'36524', 1206
'35035', 1203
'35229', 1195
'36047', 1162
'36528', 1156
'35459', 1156
'36761', 1142
'36738', 1128
'36471', 1122
'36584', 1100
'36029', 1094
'36374', 1092
'36513', 1079
'36425', 1078
'36768', 1068
'36921', 1053
'36539', 1049
'36020', 1047
'36548', 1022
'36579', 1004
'35441', 1000
'35554', 991
'35575', 976
'36585', 975
'36026', 962
'36569', 915
'35458', 915
'35183', 901
'36720', 889
'36370', 876
'35647', 874
'35552', 867
'36115', 855
'36775', 855
'36916', 815
'35176', 811
'36439', 805
'36602', 791
'36444', 790
'36574', 777
'35571', 753
'36255', 753
'35764', 741
'36583', 727
'36555', 704
'36540', 703
'35746', 697
'35464', 691
'35896', 677
'36482', 673
'36071', 664
'35544', 643
'35755', 619
'36034', 589
'36371', 583
'36783', 581
'35975', 580
'36749', 572
'35460', 569
'35149', 561
'36915', 554
'36263', 537
'36538', 532
'35775', 507
'36314', 504
'36013', 488
'36773', 484
'36373', 472
'36436', 460
'36722', 456
'36901', 455
'36446', 454
'36205', 445
'36556', 424
'36751', 420
'35584', 399
'36922', 393
'36728', 382
'36317', 371
'36112', 364
'36793', 357
'36511', 356
'36435', 355
'36455', 353
'36030', 352
'36481', 347
'36858', 331
'36550', 325
'35060', 306
'35112', 306
'36052', 297
'36313', 295
'35036', 294
'36763', 285
'35070', 276
'36483', 274
'36688', 269
'35052', 263
'36754', 243
'35745', 216
'35477', 210
'35469', 199
'35751', 193
'35615', 180
'36031', 178
'36568', 175
'35990', 164
'35139', 159
'36727', 157
'36543', 147
'35766', 132
'36039', 126
'35774', 126
'36267', 122
'36723', 118
'36470', 118
'36529', 117
'35649', 113
'36473', 106
'36559', 100
'35119', 92
'35545', 86
'36581', 78
'35032', 76
'36790', 72
'36913', 67
'36476', 59
'36038', 49
'35577', 47
'35013', 43
'36910', 41
'36859', 40
'35457', 36
'36454', 34
'36865', 30
'36753', 23
'35559', 18
'36564', 17
'36766', 16
'35187', 4